Unsorted, Run Time, Comparisons, Swaps 
,0.00691182,499380,251821
,0.00641791,499380,251821
,0.00838177,499380,251821
,0.00797641,499380,251821
,0.00708698,499380,251821
,0.00634893,499380,251821
,0.00673041,499380,251821
,0.00727063,499380,251821
,0.00723662,499380,251821
Average,0.00715694,499380,251821
Sorted, Run Time, Comparisons, Swaps 
,6.713e-06,999,0
,6.623e-06,999,0
,6.673e-06,999,0
,6.642e-06,999,0
,6.612e-06,999,0
,6.693e-06,999,0
,6.662e-06,999,0
,6.622e-06,999,0
,6.633e-06,999,0
,6.663e-06,999,0
,0,0,0
Average,6.6536e-06,999,0
