Unsorted, Run Time, Comparisons, Swaps 
,0.00106918,499500,999
,0.00106844,499500,999
,0.00106766,499500,999
,0.00107837,499500,999
,0.00108009,499500,999
,0.00106536,499500,999
,0.00106502,499500,999
,0.00107164,499500,999
,0.00106515,499500,999
Average,34.6868,-103033553,-52717658
Sorted, Run Time, Comparisons, Swaps 
,0.00115585,499500,999
,0.00113802,499500,999
,0.00113546,499500,999
,0.00114405,499500,999
,0.0011433,499500,999
,0.00113575,499500,999
,0.00113834,499500,999
,0.00114221,499500,999
,0.0011406,499500,999
,0.00115438,499500,999
,0,0,0
Average,3.38292,71088439,-181559645
