Unsorted, Run Time, Comparisons, Swaps 
,0.104795,49995000,9999
,0.105078,49995000,9999
,0.105241,49995000,9999
,0.105245,49995000,9999
,0.1053,49995000,9999
,0.105505,49995000,9999
,0.10486,49995000,9999
,0.104932,49995000,9999
,0.104883,49995000,9999
Average,34.7919,-53038553,-52707659
Sorted, Run Time, Comparisons, Swaps 
0.115738,49995000,9999
,0.115697,49995000,9999
,0.115047,49995000,9999
,0.115723,49995000,9999
,0.115149,49995000,9999
,0.115171,49995000,9999
,0.115023,49995000,9999
,0.114747,49995000,9999
,0.114757,49995000,9999
,0.115038,49995000,9999
,0,0,0
Average,3.49813,121083439,-181549646
