Unsorted, Run Time, Comparisons, Swaps 
,0.0135651,159574,92649
,0.0135918,159574,92649
,0.0140632,159574,92649
,0.0161145,159574,92649
,0.014868,159574,92649
,0.0184756,159574,92649
,0.0175386,159574,92649
,0.0142023,159574,92649
,0.0136812,159574,92649
Average,0.0159181,170468,99030
Sorted, Run Time, Comparisons, Swaps 
,4.28167,49995000,50004999
,4.22206,49995000,50004999
,4.1465,49995000,50004999
,4.01351,49995000,50004999
,3.92492,49995000,50004999
,3.90278,49995000,50004999
,3.92478,49995000,50004999
,3.90722,49995000,50004999
,3.88672,49995000,50004999
,4.1012,49995000,50004999
,0,0,0
Average,4.07136,50494500,50505498
