Unsorted, Run Time, Comparisons, Swaps 
,0.238249,49989950,25120469
,0.239993,49989950,25120469
,0.239562,49989950,25120469
,0.239142,49989950,25120469
,0.238427,49989950,25120469
,0.238552,49989950,25120469
,0.238586,49989950,25120469
,0.238393,49989950,25120469
,0.23887,49989950,25120469
Average,0.241417,50489330,25372290
Sorted, Run Time, Comparisons, Swaps 
,3.4246e-05,9999,0
,2.7282e-05,9999,0
,2.7262e-05,9999,0
,3.098e-05,9999,0
,2.7212e-05,9999,0
,2.7302e-05,9999,0
,2.7223e-05,9999,0
,2.7252e-05,9999,0
,2.7272e-05,9999,0
,2.7282e-05,9999,0
,0,0,0
Average,3.10807e-05,10998,0
